mtime,AD,AE,AK,BD,BG,BI,BL,CF,DH,DV,E,EL,EM,EU,EV,GL,GW,GY,IJ,IO,IQ,IT,IU,JT,JW,KZ,L,LO,LW,OT,PS,PW,QW,SW,W
2021-11-01T00:00,8361,6203,5790,7593,9097,6428,7587,9806,7304,7542,7856,7433,7756,5821,7452,7690,9288,4669,6194,8014,6848,6171,7696,6272,7011,9066,8441,8132,7059,8769,5853,6641,7645,7178,10682
2021-11-01T00:05,8573,6540,6734,6563,8329,5900,9504,9521,8680,6907,7378,9485,7570,7171,6883,8492,7292,6497,10038,6801,6127,8940,7144,6557,8896,7848,8193,10074,7008,9230,8370,7174,6098,7461,8747
2021-11-01T00:10,8671,5596,5370,7318,7046,5551,8252,8320,8242,7988,6685,8770,6524,5557,7772,6804,10463,6095,7590,10030,6292,5641,8690,6293,6905,8911,10319,7624,8858,6718,7437,6300,7284,6714,8230
2021-11-01T00:15,7226,5357,5854,7504,8729,5200,7958,9890,6960,6997,8272,8476,8715,6009,7469,7525,9982,6424,6891,7080,8444,8524,5968,7011,8652,8781,8674,8145,6386,7390,6919,7298,8591,9466,9048
2021-11-01T00:20,7612,7095,6271,7975,10066,6353,7209,10212,6518,8187,7619,6418,6300,7417,6642,8103,10862,5223,8023,8464,7369,6679,5290,6820,8221,7499,8552,10166,6564,7994,7574,6077,8741,8157,6479
2021-11-01T00:25,9634,6196,5809,7315,9249,6366,8398,11441,7673,6268,8515,7990,6244,6578,6625,8465,7780,5916,8205,8031,8598,6645,8085,5856,7934,7880,8297,9575,6893,8326,8747,6304,8457,9270,8509
2021-11-01T00:30,6945,6245,7703,8672,9442,4862,10052,8712,8673,8145,9590,6852,7729,5309,6980,7734,6854,5322,7987,9550,7409,7872,6206,7637,6742,7586,8840,7329,6880,7105,6985,6779,6541,9459,6793
2021-11-01T00:35,6950,7544,4973,7476,6980,3941,5658,9600,9237,8487,7458,7190,8561,6265,7020,6418,8014,5901,6278,9475,8172,7409,8005,6054,6195,8762,8622,10004,7338,7050,8885,8888,7582,10242,8962
2021-11-01T00:40,8013,6428,8062,9482,7669,5278,8608,8924,7967,7169,6605,6211,6079,5222,7475,8459,8949,5194,5752,7073,8161,8016,8419,5697,7756,9745,8720,8129,6772,6102,9011,6830,6838,8523,8386
2021-11-01T00:45,7840,6264,5092,6985,8530,5449,7308,8469,7705,5767,6508,8281,7090,4929,9463,9095,8929,6444,6918,5734,7652,7585,8066,6195,8642,7067,7257,8402,6812,10376,8438,7719,8800,6286,8317
