site_name,bandwidth
29,6997
45,5989
78,6744
A8,6425
AY,8014
Aw,5645
B6,7497
Ba,6977
Bn,5827
CJ,5760
CL,6532
CO,6982
CX,6625
DM,7509
DW,6610
DZ,8212
EJ,5404
ES,6002
Ei,6159
F4,5949
FS,4019
FY,5542
Fy,5729
GO,4554
Gd,5175
Gh,4549
Gn,5604
H2,5859
H9,6427
HL,6157
HZ,5847
Hs,3837
I1,6195
IX,3942
Id,6334
Ip,7397
J1,4250
JQ,6962
JV,5855
JX,5939
JZ,7402
Jd,6767
Je,8064
Jh,4239
Jj,3830
K2,5784
K6,4184
KS,4350
KW,6969
KZ,8827
Kb,6459
Kv,2965
Le,6942
Ln,6629
M4,4725
MN,7637
MR,5185
MX,3489
Mu,7240
N2,4385
NQ,4647
OQ,7070
OV,6452
OW,5424
Oe,8255
Oq,7015
Ox,5272
Pa,7860
Pj,5347
Pp,7597
Pv,5840
Pw,6622
Py,5132
Qo,4819
Qv,5639
R3,6609
R7,7670
R9,4870
Rj,7609
Rm,7870
Ry,3865
Rz,7490
Si,5219
TU,5844
Tj,4767
Tn,5885
Tz,7760
U7,5219
Uj,7310
Uw,6130
Ve,5119
Vx,8232
Wf,5702
Wh,5602
Xj,5597
Yb,5817
Yz,5477
Z3,5857
Z8,8697
Zj,4467
a6,6837
af,7017
ag,6244
am,5689
b1,6680
b9,5332
bf,4435
bj,6860
bz,5859
co,5302
cp,4574
cs,6572
dw,4832
e6,6985
en,3597
f7,6024
fm,6894
fs,5240
gv,5937
h1,4700
ik,7437
lu,4369
m3,6679
ny,5739
ot,7789
ox,7227
pr,6065
pt,5252
q8,4694
qs,5665
qu,5535
s8,5865
t4,5272
w4,2837
z6,5609
